Year,Date,Headline,Weblink,Company name,Event type,Sub Segment,Trend,International NL
2025,1/19/2025,"Clarus Partners Advisors launches AkuCalc, a sales tax calculation software that automates tax compliance, integrates with accounting platforms, and helps businesses navigate post-Wayfair tax obligations",https://www.cpapracticeadvisor.com/2025/01/19/clarus-partners-advisors-launches-akucalc-simplifying-sales-tax-calculations-for-businesses/154690/,AkuCalc,Product Launch,Others,SMB,
2025,1/27/2025,Complyt announces its Xero Integration for its automated sales tax management offerings,https://www.linkedin.com/feed/update/urn:li:activity:7289585731201622017/,Complyt,Partnership,Tax Compliance,Integration,
2025,1/15/2025,"Awantec launches Awantax, an MDEC-accredited e-invoicing solution, to support Malaysia's mandatory e-invoicing implementation",https://www.awantec.my/content/awantec-launches-awantax-mdec-accredited-peppol-ready-e-invoicing-solution,Avantac,Product Launch,E-invoicing,,International
2025,1/30/2025,"Oracle introduces role-based AI agents within its Fusion Cloud Supply Chain & Manufacturing (SCM) to automate routine tasks, provide personalized insights, across various areas, including procurement, manufacturing, and inventory management",https://www.oracle.com/news/announcement/oracle-ai-agents-help-transform-supply-chain-workflows-2025-01-30/,Oracle,Product Launch,GTM,Gen AI SCM,https://www.oracle.com/news/announcement/oracle-helps-customers-optimize-global-supply-chain-efficiency-2025-01-30/
2025,1/28/2025,Suma  receives its official recognition by the Digital Agency of Japan as a Peppol service provider,https://www.linkedin.com/posts/suma-technology-services-llp_peppol-einvoicing-digitaltransformation-activity-7289687143579353089-aqhJ/?utm_source=share&utm_medium=member_desktop,Suma,Certification,E-invoicing,,International
2025,1/28/2025,"Kintsugi enhances its Billing Management feature that provides users control over their subscription details, billing trends, and invoice management",https://trykintsugi.com/blog/kintsugi-enhances-billing-management-transparency-and-control-at-your-fingertips,KIntsugi,Product Update,Tax Compliance,,
2025,1/22/2025,RTC partners with Taxback International to offer an integrated solution for e-invoicing and VAT,https://rtcsuite.com/taxback-international-and-rtc-announce-strategic-partnership-to-revolutionise-e-invoicing-and-tax-compliance/,RTC,Partnership,Tax Compliance,,International
2025,1/30/2025,"Anrok launches its tax compliance platform, Anrok for Salesforce Revenue Cloud, on Salesforce AppExchange",https://www.businesswire.com/news/home/20250128626679/en,anrok,Partnership,Tax Compliance,,International
2025,1/30/2025,"TaxBandits, an authorized IRS e-file provider, partners with Sage Intacct to deliver an automated e-filing solution for 1099 forms",https://www.wtrf.com/business/press-releases/accesswire/974309/taxbandits-strengthens-its-partnership-with-sage-intacct-for-another-successful-season-of-1099-e-filing/,Tax Bandits,Partnership,TIR,,
2025,1/31/2025,"Stampli introduces Procure to Pay, a unified software platform that incorporates purchase requests, PO creation, and invoice processing into one system, adapting to users' processes and workflows",https://thepaypers.com/e-invoicing-supply-chain-finance/stampli-launches-procure-to-pay--1272068,Stampli,Product Launch,E-invoicing,,
2025,05/02/2025,TransUnion introduces TruVision alternative bank risk score to increase transparency for lenders,https://newsroom.transunion.com/transunion-introduces-truvision-alternative-bank-risk-score/,TransUnion,Product Launch,Corp Risk,,
2025,06/02/2025,Backbase and Feedzai partner to launch deeply integrated financial crime prevention in the engagement banking platform,https://www.feedzai.com/pressrelease/feedzai-announces-strategic-partnership-with-backbase-to-elevate-trust-security-and-customer-engagement-in-digital-banking/,Feedzai,Partnership,Corp Risk,,
2025,05/02/2025,"Ivo raises $16M in Series A funding led by Costanoa Ventures, to scale its AI-powered contract review solution aimed at corporate legal teams; this brings their total funding to ~$22M",https://legaltechnology.com/2025/02/05/ivo-raises-16m-series-a-to-deliver-ai-contract-review-at-scale/,Ivo,Funding,Corp Legal,,
2025,04/02/2025,SmartEsq launches its AI-powered platform designed to streamline legal workflows for private investment funds,https://www.lawnext.com/2025/02/australian-legal-tech-platform-lawpath-secures-10m-investment-as-use-of-its-legal-ai-expands.html,SmartEsq,Product Launch,Corp Legal,,
2025,05/02/2025,Docusign launches a ‘Notary on-Demand’ service available 24/7 across US,https://www.artificiallawyer.com/2025/02/05/docusign-launches-notary-on-demand-service/,Docusign,Product Launch,Corp Legal,,
2025,10/02/2025,"Law Insider and oneNDA launch oneSaaS, a community-driven standard contract template for cloud services agreements",https://www.artificiallawyer.com/2025/02/10/law-insider-launches-onesaas-new-standard-for-cloud-agreements/,oneNDA,Product Launch,Corp Legal,,
2025,05/02/2025,"LexFusion, an outsourced legal tech sales group, partners with Fides, an entity management company",https://www.artificiallawyer.com/2025/02/05/lexfusion-adds-fides-entity-management-to-roster/,LexFusion,Partnership,Corp Legal,,
2025,05/02/2025,Blackrock Inc increases stake in Vertex Inc with significant share acquisition,https://www.gurufocus.com/news/2683714/blackrock-inc-increases-stake-in-vertex-inc-with-significant-share-acquisition,Vertex,,Tax Compliance,,
2025,06/02/2025,FIS Launches Its New Revenue Insight Solution to Transform AR Management,https://www.investor.fisglobal.com/news-releases/news-release-details/fis-launches-its-new-revenue-insight-solution-transform-accounts,FIS,,E-invoicing,,
2025,06/02/2025,Descartes launched numerous Global Trade intelligence innovation and enhancements.,https://www.descartes.com/resources/news/descartes-showcases-global-trade-intelligence-technology-innovations,Descartes,,GTM,,
2025,1/28/2025,Indonesia issues regulation to implement BEPS Pillar two,https://globaltaxnews.ey.com/news/2025-0342-indonesias-ministry-of-finance-issues-regulation-to-implement-beps-20-pillar-two,Industry,,Regulations,,International
2025,1/24/2025,Canada issues 2025 trade compliance verification list update,https://globaltaxnews.ey.com/news/2025-0320-canada-border-services-agency-issues-2025-trade-compliance-verification-list-update,Industry,,Regulations,,International
2025,2/23/2025,Ledgible and TAINA partner to provide a tax reporting solution that adresses 1099 form generation and compliance for crypto and digital asset platforms,https://ledgible.io/news/ledgible-and-taina-technology-partner-to-streamline-tax-compliance-for-the-crypto-and-digital-asset-industry/,Ledgible,Partnership,TIR,,
2025,2/21/2025,,https://rtcsuite.com/our-partnership-with-taxback-international-a-new-era-in-vat-compliance/,RTC,Partnership,Tax Compliance,,
2025,2/19/2025,Viva.com acquires a majority stake in fiskaltrust to launch a Europe focused solution integrating e-invoicing with payments and fiscalisation services,https://thepaypers.com/online-payments/vivacom-acquires-a-majority-stake-in-fiskaltrust--1272364,Viva,Acquisition,E-invoicing,,International
2025,2/21/2025,The upcomming March update for Dynamics 365 Finance will introduce new entities and mappings to support return order invoice synchronization through dual-write in the accounts receivable module,https://erp.today/microsoft-dynamics-365-finance-10-0-43-coming-in-march-2025/,,,,,
2025,2/19/2025,Deloitte and Basware expand their partnership by launching a Center of Excellence that offers enterprises automated solutions for enhanced compliance in response to increasing e-invoicing mandates and SAP S/4HANA migrations,https://www.prnewswire.com/news-releases/deloitte-and-basware-create-center-of-excellence-to-drive-digital-finance-transformation-and-compliance-at-scale-302379215.html,Basware,Partnership,E-invoicing,,
2025,2/19/2025,"The Croatian government mandates B2B electronic invoicing for domestic transactions starting January 1, 2026, as part of the Fiscalization Project 2.0 to modernize tax processes",https://edicomgroup.com/blog/croatia-electronic-invoicing-b2b,Industry,Regulation,Regulations,,International
2025,06/02/2025,Base.com partners with AVASK to offer cross-border VAT compliance and financial services for e-commerce businesses,https://www.linkedin.com/posts/avaskgroup_partners-ecommerce-tax-activity-7293274592138153985-NLY1/?utm_source=share&utm_medium=member_desktop&rcm=ACoAADq0lXQBXTqj-sy6tAYLEbCUl7FuRmFXwsw,Avask,Partnership,Tax Compliance,,
2025,2/19/2025,"Luminance, a contract review and management platform, raises $75M in Series C funding round led by Point72 Private Investments: this brings its total funding to $165M",https://legaltechnology.com/2025/02/18/luminance-raises-75m-in-series-c-funding/,Luminance,,Corp Legal,,
2025,2/19/2025,"CLM provider, ContractPodAi launches a marketplace where clients can access custom-made AI apps for specific legal workflows",https://www.lawnext.com/2025/02/clm-company-contractpodai-partners-with-big-four-firms-and-alsps-to-launch-marketplace-of-ai-agents.html,ContractPod AI,,Corp Legal,,
2025,2/19/2025,SingleFile raises $9M Series A led by Foundry Group to expand its corporate compliance filing platform; this brings its total funding to $24M,https://www.lawnext.com/2025/02/exclusive-singlefile-raises-9m-series-a-to-expand-its-corporate-compliance-filing-platform.html,Singlefile,,Corp Legal,,
2025,2/19/2025,"WilsonAI, a  legal tech startup raises $1.7M in pre-seed funding to help inhouse teams streamline workflows and handle repetitive needs",https://www.artificiallawyer.com/2025/02/24/wilsonai-raises-1-7m-pre-seed-for-inhouse-ai-paralegal/,Wilson AI,,Corp Legal,,
2025,2/19/2025,"eDiscovery company, Exterro announces a remote mobile device collection capability to streamline the process of gathering mobile data for eDiscovery and digital forensics investigations",https://www.lawnext.com/2025/02/e-discovery-company-exterro-unveils-tool-it-says-will-disrupt-data-collection-from-remote-mobile-devices.html,Exterro,,Corp Legal,,
2025,2/19/2025,State of AI in eDiscovery report shows a 95% increase in enterprise AI adoption,https://www.legalitprofessionals.com/usa-news/14063-lighthouse-releases-second-annual-state-of-ai-in-ediscovery-benchmark-study,Industry,,Corp Legal,,
2025,2/19/2025,Mastercard partners with Feedzai to expedite the deployment of Mastercard's Consumer Fraud Risk (CFR) solution and make it easier for banks to identify and combat scams,https://www.feedzai.com/pressrelease/mastercard-and-feedzai-join-forces-to-protect-consumers-and-businesses-from-scams/,Feedzai,,Corp Risk,,
2025,2/19/2025,LexisNexis Risk Solutions closes its acquisition of IDVerse,https://risk.lexisnexis.com/about-us/press-room/press-release/20250219-idverse-acquisition,LexisNexis,,Corp Risk,,
2025,12/02/2025,"Project44 introduces six AI-powered capabilities to assist supply chain visibility and efficiency, including AI Data Quality Agents, AI Disruption Navigator, and MO, the AI Supply Chain Assistant, within its Movement platform",https://www.project44.com/press-releases/project44-enhances-movement-platform-with-six-new-ai-optimization-capabilities/,Project 44,Product Launch,GTM,Gen AI,
2025,07/02/2025,"Tax Systems is expands its Alphatax offering, a corporate tax compliance software, to the United Arab Emirates",https://www.taxsystems.com/tax-news/tax-systems-launches-alphatax-in-the-uae-to-streamline-corporate-tax-compliance/,Tax Systems,Expansion,Tax Compliance,,International
2025,2/13/2025,"The European Parliament approves ViDA's reforms, introducing a phased implementation of e-invoicing, digital reporting, and simplified registration processes across the EU from 2025 to 2035",https://edicomgroup.com/blog/vida-the-european-union-promotes-b2b-electronic-invoicing,Industry,Regulation,E-invoicing,,International
2025,11/02/2025,"Upwell, a payment automation platform for the logistics industry, secures $6.5M  in seed funding to enhance its AI-driven invoicing solution and expand its market presence",https://www.indexbox.io/blog/upwell-secures-65-million-to-revolutionize-logistics-payment-automation/,Index box,Funding,Others,,
2025,2/13/2025,ION Commodities integrates Avalara's tax compliance automation offerings into its energy and commodity management solutions,https://www.prnewswire.com/news-releases/ion-partners-with-avalara-to-tackle-tax-compliance-risks-in-energy-trading-302373836.html,Avalara,Partnership,Tax Compliance,,
2025,11/02/2025,"Arrow Electronics partners with Sovos to become the main distributor of Sovos' tax compliance solutions in France, Spain, and Belgium",https://www.channelbiz.fr/2025/02/09/distribution-arrow-reference-sovos-pour-simplifier-la-conformite-fiscale-des-entreprises-est-un-tres-bon-titre/,Sovos,Partnership,Tax Compliance,,International
2025,11/02/2025,"Sovos announces SAP certification for technical integration of Sovos VAT Filing, Tax Determination, and e-Invoicing solutions within its Indirect Tax Suite",https://sovos.com/press-releases/sovos-achieves-full-sap-certification-for-its-indirect-tax-suite/?_gl=1*dogy1b*_up*MQ..*_ga*MTMzNDE0NzY5Mi4xNzM5NzkwODE2*_ga_E6KJ55E4Q5*MTczOTc5MDgxNi4xLjEuMTczOTc5MDgzMS4wLjAuMA..,Sovos,Certification,Tax Compliance,,International
2025,12/02/2025,"Brazil updates its NFCom implementation timeline, requiring taxpayers to adopt real-time electronic invoicing for communication and telecommunications services by November 1, 2025,",https://www.comarch.com/trade-and-services/data-management/legal-regulation-changes/brazil-introduces-nfcom-as-a-new-mandatory-e-invoicing-requirement/,Industry,Regulation,E-invoicing,,International
2025,02/13/2025,SpotDraft raises $54M in Series B funding with Vertex Growth Singapore and Trident Partners as lead investors; this brings its total funding to ~$82M,https://www.legalitprofessionals.com/global-news/14054-spotdraft-secures-54-million-to-lead-ai-contract-lifecycle-management,SpotDraft,,Corp Legal,,International
2025,02/17/2025,"Agentic AI startup, Eudia closes a $105M Series A funding round led by General Catalyst, to build out the platform’s use cases and looks to acquire other startups in the future",https://www.artificiallawyer.com/2025/02/13/eudia-bags-up-to-105m-for-augmented-intelligence-platform/,Eudia,,Corp Legal,,
2025,02/17/2025,"Mishcon de Reya invests in Ctrl AI, a legal ops agentic AI startup for disputes and document analysis",https://www.artificiallawyer.com/2025/02/17/mishcon-invests-in-ctrl-ai-agentic-ai-legal-ops-startup/,Ctrl Al,,Corp Legal,,International
2025,02/13/2025,"Aracor AI, GenAI-powered contract review solution raises $4.5M in pre-seed funding led by Fuel Venture Capital to improve security and AI features on its platform",https://www.law.com/legaltechnews/2025/02/13/legal-tech-startup-aracor-ai-announces-45-million-pre-seed-funding-round/,Aracor AI,,Corp Legal,,
2025,02/12/2025,Adobe announces contract intelligence capabilities in its Acrobat AI Assistant to streamline contract review process,https://www.law.com/legaltechnews/2025/02/12/adobe-launches-contract-intelligence-capabilities-in-its-acrobat-ai-assistant/,Adobe,,Corp Legal,,
2025,02/11/2025,"SimpleDocs launches SimpleAI, an AI powered contract review tool with customizable playbooks",https://www.lawnext.com/2025/02/simpledocs-launches-simpleai-an-ai-powered-contract-review-tool-with-customizable-playbooks-plus-video-demo.html,SimpleDocs,,Corp Legal,,
2025,02/10/2025,"Law Insider launches oneSaaS, a standardized template for cloud services agreements; the launch follows Law Insider’s acquisition of oneNDA in October",https://www.lawnext.com/2025/02/law-insider-launches-onesaas-standard-cloud-services-agreement-building-on-onenda-success.html,Law Insider,,Corp Legal,,
2025,02/13/2025,"Managed services company, Factor acquires legal tech design firm, Theory and Principle to develop and deliver AI legal services",https://www.lawnext.com/2025/02/managed-services-company-factor-acquires-legal-tech-design-firm-theory-and-principle-to-accelerate-its-push-into-ai-enabled-legal-services.html,Factor,,Corp Legal,,
2025,12/02/2025,"Socure launches RiskOS, a risk decisioning engine to streamline fraud prevention, compliance with real-time decisioning and orchestration capabilities through a no-code interface",https://www.socure.com/news-and-press/riskos-launch,Socure,Product Launch,Corp Risk,,
2025,12/02/2025,"Experian partners with ValidMind,a model risk management solutions provider to transform financial institutions' approach on regulatory compliance, operational inefficiencies and need for scalable governance solutions",https://www.experianplc.com/newsroom/press-releases/2025/experian-and-validmind-partner-to-transform-model-risk-managemen,Experian,Partnership,Corp Risk,,
2025,2/28/2025,"Avalara releases an updated connector for Salesforce Revenue Cloud that assists in automating field mappings, calculations, and policy management",https://newsroom.avalara.com/2025-02-28-Avalara-Announces-Integration-for-Salesforce-Revenue-Cloud-on-Salesforce-AppExchange,Avalara,Partnership,Tax Compliance,,
2025,2/25/2025,Auditoria.AI raises $38M in Series B funding round to improve its agentic AI solutions that includes SmartCustomer for accounts receivable and SmartVendor for accounts payable,https://www.pymnts.com/news/investment-tracker/2025/auditoria-ai-raises-38-million-to-grow-agentic-ai-for-finance/,Auditoria,Funding,E-invoicing,Gen AI,
2025,2/25/2025,Vertex e-Invoicing announces integration of its Continuous Transaction Controls (CTC) with Periodic Transaction Controls (PTC),https://www.globenewswire.com/news-release/2025/02/26/3032975/0/en/Vertex-Expands-e-Invoicing-Capabilities-to-Streamline-Compliance-Reporting.html,Vertex,Product Enhancement,E-invoicing,,International
2025,2/25/2025,,,Vertex,Earnings,,,
2025,2/25/2025,"Sovos announces the availability of its VAT Filing solution on AWS Marketplace, enabling flexibility to purchase and manage the solution directly within AWS Marketplace account",https://www.businesswire.com/news/home/20250226853269/en,Sovos,Product Enhancement,Tax Compliance,,
2025,12/02/2025,"Project44 introduces six AI-powered capabilities to assist supply chain visibility and efficiency, including AI Data Quality Agents, AI Disruption Navigator, and MO, the AI Supply Chain Assistant, within its Movement platform",https://www.project44.com/press-releases/project44-enhances-movement-platform-with-six-new-ai-optimization-capabilities/,Project 44,Product Launch,GTM,Gen AI,
2025,2/26/2025,"Insightsoftware launches Lineos, an AI-driven suite of capabilities that enhances financial planning, analysis, and reporting",https://insightsoftware.com/blog/introducing-lineos-ai-powered-by-insightsoftware-transforming-finance-workflows-with-actionable-insights/,Insightsoftware,Product Launch,Tax Compliance,Gen AI,
2025,03/03/2025,"Avalara announces 29 certified integrations that span across accounting, ERPs, e-commerce, point of sale, mobile commerce, and payments",https://newsroom.avalara.com/2025-03-03-Avalara-Announces-29-Newly-Certified-Integrations-into-Business-Applications,Avalara,Partnership,Tax Compliance,,
2025,06/03/2025,"Descartes announces FY2025 earnings, overall revenue ($651M) grew by 14% mostly driven by transport visibility and trade intelligence solutions and it also reported an adjusted EBITDA of ~$285M",https://www.descartes.com/resources/news/descartes-announces-fiscal-2025-fourth-quarter-and-annual-financial-results,Descartes,Earnings,GTM,,
2025,05/03/2025,"Flex, a banking and AP automation provider focused on SMBs, raises $225M in debt and equity funding with which it plans to add AR automation capabilities like invoicing and reconciliation",https://www.pymnts.com/news/b2b-payments/2025/flex-raises-225-million-for-finance-platform-for-business-owners/,Flex,Funding,AP/AR Automation,,
2025,07/03/2025,"Starting March 1, 2025, Swedish Customs transitions to a Peppol-based invoicing system, requiring businesses to adapt their systems, obtain a Peppol ID, appoint an operator, and access updated PDF invoices for compliance with VAT reporting",https://www.vatupdate.com/2025/03/07/sweden-adopts-peppol-for-customs-invoicing-in-2025/,Industry,Regulation,E-invoicing,,International
2025,07/03/2025,"Norway is evaluating the extension of its PEPPOL-based e-invoicing mandate from B2G to B2B transactions while studying necessary regulatory frameworks, with no implementation timeline yet established",https://www.comarch.com/trade-and-services/data-management/legal-regulation-changes/norway-explores-mandatory-e-invoicing-for-b2b-transactions/,Industry,Regulation,E-invoicing,,International
2025,05/03/2025,"Numeral, a sales tax compliance vendor, raises $18M in Series A funding to expand its focus towards SaaS companies",https://www.businesswire.com/news/home/20250305498838/en/Numeral-Secures-18-Million-in-Series-A-Funding-to-Help-Businesses-Manage-State-by-State-Sales-Tax-Requirements,Numeral,Funding,Tax Compliance,,
2025,04/03/2025,LSEG Risk Intelligence announces the launch of Global Account Verification (GAV) in APAC and EMEA to combat the Authorised Push payment (APP) and cross-border payment fraud,https://www.lseg.com/en/media-centre/press-releases/2025/lseg-risk-intelligence-launches-global-account-verification-tackle-cross-border-payment-fraud-apac-emea,LSEG,Product Launch,Corp Risk,,
2025,05/03/2025,"Riskified announces the launch of Adaptive Checkout, a solution designed to drive higher conversion rates, reduce false declines and mitigate fraud for ecommerce merchants",https://www.riskified.com/press/riskified-unveils-adaptive-checkout-ai-fraud-prevention-that-maximizes-ecommerce-conversion-rates/,Riskified,Product Launch,Corp Risk,,
2025,06/03/2025,"IDNow, an identity verification provider announces majority investment from Corsair Capital, to accelerate its growth in EU market and build strong positions in multiple geographies",https://www.idnow.io/pr/idnow-announces-strategic-majority-investment-from-corsair-capital/,Idnow,Investment,Corp Risk,,
2025,03/03/2025,"Palantir partners with TWG Global, a holding company to redefine AI deployment in banking, investment management, insurance and other financial services",https://investors.palantir.com/news-details/2025/Palantir-and-TWG-Global-Announce-Joint-Venture-to-Deploy-AI-Program-Across-Financial-Services-and-Insurance/,Palantir,Partnership,Corp Risk,,
2025,05/03/2025,"According to 2025 Face Liveness Market Report and Buyers Guide from Biometric Update and Goode Intelligence, the global face biometric liveness detection market will surpass $250M by 2027",https://www.biometricupdate.com/202503/face-liveness-detection-market-to-reach-250m-by-2027,Industry,Report,Corp Risk,,
2025,07/03/2025,"Persona, an identity verification company updates its unified KYC and KYB platform to combat fraud through advanced business impersonation detection, online presence verification and ownership analysis capabilities","https://ffnews.com/newsarticle/fintech/persona-unveils-industry-first-business-fraud-prevention-solution/#:~:text=Persona%20helps%20customers%20streamline%20and%20automate%20global%20Know,onboard%20businesses%20faster%20while%20maintaining%20robust%20verification%20standards.",Persona,Product Launch,Corp Risk,,
2025,2/27/2025,"LexisNexis Risk Solutions launches Flyreel for Claims, an AI property survey solution designed to improve risk assessment and ensure faster and more accurate claims management processes",https://risk.lexisnexis.com/about-us/press-room/press-release/20250227-flyreel-for-claims,LexisNexis Risk,Product Launch,Corp Risk,,
2025,04/03/2025,"TransUnion partners with Truework, an income and employment verification provider to streamline verification capabilities and accelerate underwriting while minimizing costs",https://newsroom.transunion.com/transunion-and-truework-align-to-provide-mortgage-lenders-expanded-access-to-verification-of-income-and-employment,TransUnion,Partnership,Corp Risk,,
2025,04/03/2025,ContractPodAi’s Leah partners to add agentic contracting capabilities to Epiq Service Cloud,https://contractpodai.com/news/epiq-alliance-leah/,,,Corp Legal,,
2025,04/03/2025,"Autologyx, a workflow automation tool, launches a range of GenAI capabilities to support legal tasks for agentic programs, such as triage for email intake",https://www.artificiallawyer.com/2025/03/10/autologyx-rolls-out-new-genai-capabilities/,,,Corp Legal,,
2025,04/03/2025,"Consilio partners with LegalMation, a provider of AI-driven responses for dispute needs, to handle ‘process level work’",https://www.artificiallawyer.com/2025/03/05/consilio-legalmation-partner-for-automated-inhouse-needs/,,,Corp Legal,,
2025,11/03/2025,"Clearco partners with Kintsugi to offer Shopify merchants AI-powered sales tax automation software at a discount, addressing the upcoming suset of their traditiona  AvaTax for Shopify integration",https://trykintsugi.com/blog/clearco-partners-with-kintsugi-to-make-sales-tax-easier-for-ecommerce-brands,Kintsugi,Partnership,Tax Compliance,,
2025,12/03/2025,The 2025 Tax Changes Readiness Survey by Bloomberg Tax & Accounting highlights the challenges faced by corporate tax departments due to outdated processes and emphasizes the urgent need for advanced technology to navigate the sunset of key TCJA provisions and other potential tax law changes,https://pro.bloombergtax.com/insights/company-news/new-bloomberg-tax-survey-highlights-need-for-tax-technology-in-responding-to-law-change/,Industry,Report,Tax Compliance,,
2025,11/03/2025,"Lenorasoft introduces Anusaar, an AI-powered e-invoicing platform for businesses in UAE which also provides them AP and AR automation capabilities. It claims to be ERP-agnostic, having integrations with SAP, Oracle and Microsoft's ERPs",https://fox40.com/business/press-releases/ein-presswire/789694514/meet-lenorasofts-anusaar-e-invoicing-solution-ai-driven-e-invoicing-for-effortless-compliance-and-financial-efficiency/,Anusaar,Product Launch,E-invoicing,,International
2025,11/03/2025,"Comarch joins the Digital Business Networks Alliance, enhancing its e-invoicing ecosystem and enabling document exchange across North America and internationally",https://www.comarch.com/trade-and-services/data-management/news/comarch-joins-the-digital-business-networks-alliance/,comarch,Product Update,E-invoicing,,
2025,11/03/2025,"xSuite, an AP automation service provider, partners with Hypatos integrating Hypatos' AI capabilities into xSuite's invoice processing solutions while xSuite's SAP-integrated workflows enhance Hypatos' AP automation offerings",https://www.globenewswire.com/news-release/2025/03/11/3040736/0/en/xSuite-and-Hypatos-Announce-Strategic-Partnership.html,xSuite,Partnership,E-invoicing,,
2025,3/13/2025,"Greece receives formal EU authorization to implement mandatory B2B e-invoicing nationwide starting July 2025, with data flowing to the myDATA platform in line with EU's ViDA",https://sovos.com/regulatory-updates/vat/greece-formal-eu-approval-for-b2b-e-invoicing-mandate-published/,Industry,Regulation,E-invoicing,,International
2025,3/14/2025,"The UAE Ministry of Finance releases accreditation requirements for service providers to participate in the invoice exchange system, which includes testing, Peppol certification, operational experience, and ISO certifications",https://snitechnology.net/uae-e-invoicing-a-new-era-of-digital-tax-compliance/,Industry,Regulation,E-invoicing,,International
